"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","one","tablet","tablet","kindle","fire"
"2","tablet","android","ipad","fire","kindle"
"3","get","apps","screen","love","device"
"4","will","can","use","great","amazon"
"5","product","screen","can","can","can"
"6","back","app","like","books","like"
"7","amazon","good","just","use","screen"
"8","just","device","one","one","ipad"
"9","time","market","will","ipad","apps"
"10","problem","use","android","read","will"
"11","got","get","great","just","app"
"12","wifi","great","keyboard","like","just"
"13","even","will","good","easy","use"
"14","work","like","also","amazon","books"
"15","first","video","battery","get","reading"
"16","buy","work","really","reading","one"
"17","now","just","much","bought","web"
"18","bought","works","better","tablet","read"
"19","support","google","get","apps","want"
"20","service","well","tablets","much","also"
"21","new","one","apple","games","get"
"22","screen","archos","well","really","really"
"23","customer","also","device","price","well"
"24","days","play","apps","product","content"
"25","return","price","tab","also","good"
"26","unit","wifi","laptop","got","book"
"27","day","battery","usb","movies","touch"
"28","money","card","windows","free","button"
"29","still","even","now","now","much"
"30","never","flash","using","christmas","music"
"31","tried","little","even","want","browser"
"32","received","really","asus","screen","cloud"
"33","device","want","xoom","buy","even"
"34","update","download","still","everything","way"
"35","problems","touch","life","will","video"
"36","thing","better","time","book","time"
"37","another","using","need","good","access"
"38","know","much","galaxy","time","email"
"39","two","tablets","touch","wanted","store"
"40","like","install","samsung","recommend","free"
"41","purchased","usb","work","well","find"
"42","item","time","best","play","page"
"43","issue","videos","want","new","many"
"44","good","need","used","purchased","using"
"45","worked","now","quality","wifi","better"
"46","working","phone","computer","web","see"
"47","said","games","new","happy","things"
"48","box","internet","camera","little","available"
"49","charge","web","nice","internet","wifi"
"50","use","nice","price","need","movies"
"51","turn","music","think","thing","think"
"52","went","able","thing","old","easy"
"53","going","thing","first","perfect","first"
"54","nothing","installed","many","gift","need"
"55","called","player","size","purchase","make"
"56","card","files","back","watch","great"
"57","sent","update","little","think","prime"
"58","told","browser","transformer","music","home"
"59","hours","pretty","thrive","since","now"
"60","since","fine","wifi","best","volume"
"61","purchase","memory","software","able","price"
"62","times","camera","way","even","people"
"63","send","youtube","full","fast","experience"
"64","try","find","fast","first","reader"
"65","came","many","phone","email","used"
"66","returned","support","lot","things","however"
"67","bad","first","around","say","power"
"68","really","still","works","size","size"
"69","weeks","easy","far","year","android"
"70","help","access","bit","device","still"
"71","connect","store","case","laptop","lot"
"72","well","got","right","wife","able"
"73","tech","run","flash","download","nice"
"74","can","life","love","day","without"
"75","reset","found","see","lot","little"
"76","reviews","quality","buy","better","work"
"77","took","lot","make","prime","download"
"78","power","slow","say","far","pages"
"79","shipping","used","feel","loves","small"
"80","trying","buy","things","many","videos"
"81","right","without","since","take","found"
"82","issues","fast","without","getting","times"
"83","ordered","bought","playbook","color","browsing"
"84","way","netflix","acer","using","etc"
"85","call","though","touchpad","looking","problem"
"86","review","free","power","husband","going"
"87","week","available","honeycomb","something","know"
"88","company","version","experience","money","back"
"89","give","looking","makes","works","devices"
"90","started","comes","take","awesome","user"
"91","something","unit","netbook","still","though"
"92","order","system","people","computer","something"
"93","see","reader","system","amazing","buy"
"94","next","hours","display","kids","nook"
"95","finally","movies","card","fun","iphone"
"96","battery","far","pretty","battery","feature"
"97","anything","think","looking","used","interface"
"98","say","problem","video","know","thing"
"99","minutes","file","big","work","text"
"100","months","bad","hours","touch","storage"
"101","getting","way","port","received","enough"
"102","replacement","make","find","reader","right"
"103","christmas","seems","though","ereader","since"
"104","able","however","however","without","software"
"105","fix","tried","review","check","display"
"106","last","amazon","light","playing","ereader"
"107","router","right","two","reviews","account"
"108","great","see","easy","daughter","may"
"109","thought","product","bluetooth","around","two"
"110","gift","full","enough","nice","bit"
"111","touch","know","something","downloaded","makes"
"112","later","sound","features","life","amazons"
"113","internet","bit","hardware","right","big"
"114","disappointed","since","look","every","apple"
"115","charger","software","everything","already","hold"
"116","button","watch","less","anyone","pretty"
"117","connection","something","small","never","issue"
"118","refund","everything","quite","wish","sure"
"119","wait","micro","app","month","color"
"120","email","downloaded","may","absolutely","keyboard"
"121","warranty","enough","overall","thought","turn"
"122","wanted","coby","update","long","sometimes"
"123","let","storage","version","etc","bottom"
"124","find","overall","long","videos","issues"
"125","found","email","gps","ever","carousel"
"126","also","cons","toshiba","worth","already"
"127","used","read","product","sure","look"
"128","second","etc","got","highly","seems"
"129","sure","responsive","performance","small","lack"
"130","want","firmware","yet","people","purchase"
"131","people","running","market","phone","far"
"132","come","things","etc","put","overall"
"133","seller","hard","bought","son","features"
"134","make","around","issues","find","phone"
"135","phone","skype","made","way","streaming"
"136","pay","problems","know","enjoy","say"
"137","arrived","yet","devices","buying","point"
"138","take","best","run","enough","review"
"139","every","box","dock","features","watch"
"140","asus","media","inch","big","needs"
"141","hard","marketplace","memory","facebook","netflix"
"142","turned","sure","comes","two","every"
"143","ever","angry","going","see","easily"
"144","home","gps","issue","nook","works"
"145","wireless","applications","day","watching","media"
"146","within","playing","hard","wonderful","hand"
"147","ago","load","available","access","long"
"148","without","say","actually","family","control"
"149","today","anything","hdmi","going","top"
"150","month","cheap","seems","library","update"
"151","think","issues","perfect","glad","new"
"152","fine","may","processor","pleased","option"
"153","charging","wanted","slot","friends","heavy"
"154","however","birds","drive","light","watching"
"155","made","limited","sure","found","either"
"156","products","put","iphone","carry","around"
"157","slow","built","feels","set","internet"
"158","put","worked","another","keep","magazines"
"159","credit","pros","weight","always","movie"
"160","please","recommend","home","home","another"
"161","connected","back","built","yet","library"
"162","download","getting","web","surf","keep"
"163","several","home","hold","came","probably"
"164","returning","money","desktop","netflix","quite"
"165","number","big","recommend","made","often"
"166","star","stylus","mode","anything","give"
"167","start","case","blackberry","plus","limited"
"168","works","devices","compared","easier","set"
"169","maybe","cruz","user","quality","less"
"170","waiting","connect","excellent","app","next"
"171","decided","root","iconia","another","feel"
"172","computer","decent","found","problems","click"
"173","gave","ipad","design","decided","love"
"174","away","look","heavy","camera","slow"
"175","buying","quite","ports","night","computer"
"176","long","size","plus","mine","shows"
"177","mine","try","machine","make","kindles"
"178","three","easily","prime","days","several"
"179","price","going","office","excellent","silk"
"180","manual","runs","resolution","purse","might"
"181","set","hdmi","solid","last","simple"
"182","charged","internal","getting","available","tablet"
"183","though","reviews","easily","loved","fine"
"184","year","come","real","surfing","version"
"185","online","another","pad","pretty","yet"
"186","wrong","actually","side","everyone","reviews"
"187","waste","low","able","listen","ability"
"188","guess","two","hand","expected","view"
"189","shipped","new","point","look","anything"
"190","else","browsing","almost","movie","actually"
"191","many","processor","might","ordered","product"
"192","someone","slot","never","spend","everything"
"193","piece","happy","probably","pad","ipod"
"194","tell","resistive","speed","fact","change"
"195","everything","issue","games","problem","especially"
"196","apple","worth","come","thanks","getting"
"197","stars","set","ios","item","password"
"198","spent","cable","already","definitely","tap"
"199","excited","speakers","although","years","although"
"200","actually","via","especially","give","day"
"201","paid","review","amazing","magazines","hard"
"202","different","drive","needs","fits","maybe"
"203","defective","touchscreen","running","birthday","least"
"204","hope","plays","definitely","impressed","load"
"205","case","kyros","hands","less","wanted"
"206","couple","working","put","everywhere","trying"
"207","anyone","speed","type","picture","expect"
"208","hour","less","every","almost","always"
"209","system","people","looks","makes","open"
"210","need","hardware","support","super","eink"
"211","may","computer","different","learning","take"
"212","contacted","audio","reviews","overall","fast"
"213","says","inch","bad","easily","sound"
"214","old","couple","cons","thank","buttons"
"215","read","charge","charge","present","annoying"
"216","almost","small","upgrade","deal","allow"
"217","network","takes","front","user","connection"
"218","pan","viewing","months","shows","real"
"219","website","port","sound","apple","looking"
"220","least","take","fact","full","full"
"221","happy","website","awesome","store","never"
"222","software","purchased","happy","display","space"
"223","completely","probably","faster","online","add"
"224","keep","tab","responsive","clear","fires"
"225","either","long","wanted","come","easier"
"226","worth","capacitive","webos","tablets","purchased"
"227","already","looks","speakers","needs","google"
"228","brand","rom","pros","bed","yes"
"229","experience","performance","applications","game","users"
"230","less","resolution","interface","ease","different"
"231","poor","excellent","extra","lots","difficult"
"232","happened","deal","high","angry","made"
"233","signal","keyboard","ram","hours","instead"
"234","cheap","almost","ics","gave","controls"
"235","open","operating","products","browsing","quality"
"236","needed","every","keep","disappointed","rather"
"237","seems","keep","typing","back","type"
"238","stopped","sometimes","portable","bit","downloaded"
"239","kept","give","smooth","said","items"
"240","factory","facebook","pen","case","hit"
"241","opened","view","build","favorite","documents"
"242","repair","although","days","weeks","reason"
"243","response","bluetooth","deal","took","itunes"
"244","store","ipod","years","quickly","disappointed"
"245","reason","real","model","week","side"
"246","instructions","several","give","feel","life"
"247","left","made","stylus","exactly","try"
"248","usb","expect","slate","cost","problems"
"249","little","upgrade","last","actually","show"
"250","contact","wireless","motorola","away","sites"
"251","information","adobe","cameras","purchasing","almost"
"252","junk","buttons","google","friendly","selection"
"253","recommend","came","problem","travel","come"
"254","asked","reason","always","ago","put"
"255","point","power","notes","stuff","stuff"
"256","save","external","simply","birds","stars"
"257","useless","connection","top","though","bad"
"258","yet","site","runs","especially","simply"
"259","better","mobile","either","anywhere","word"
"260","immediately","ereader","ipads","couple","thought"
"261","using","others","storage","needed","part"
"262","wife","seem","away","cool","settings"
"263","line","stock","anything","else","let"
"264","archos","experience","difference","wait","said"
"265","much","open","mouse","quick","quickly"
"266","person","different","worth","keyboard","via"
"267","far","times","operating","kindles","cons"
"268","dead","plug","due","school","play"
"269","fixed","either","feature","went","speakers"
"270","account","plus","purchase","pay","functionality"
"271","plugged","pictures","unit","ipod","place"
"272","model","loaded","browsing","heavy","must"
"273","process","mine","least","downloading","battery"
"274","froze","purchase","open","several","holding"
"275","dont","microsd","others","enjoying","delete"
"276","receive","might","yes","watched","expected"
"277","sending","simple","note","video","compared"
"278","cost","side","external","regular","files"
"279","hold","viewsonic","reason","person","deal"
"280","unfortunately","included","useful","simple","tried"
"281","ship","ram","ever","thinking","couple"
"282","luck","transfer","sony","different","main"
"283","ipad","application","carry","fantastic","perfect"
"284","saying","needs","instead","must","fact"
"285","worst","watching","browser","research","clear"
"286","site","point","fine","sound","wish"
"287","cord","search","bright","mom","light"
"288","full","perfect","mobile","portable","hope"
"289","trouble","buying","lack","house","seem"
"290","name","movie","end","cheaper","games"
"291","original","surfing","data","hold","feels"
"292","samsung","online","business","outside","search"
"293","looked","features","wait","emails","digital"
"294","thank","add","must","expensive","huge"
"295","longer","high","taking","knew","understand"
"296","goes","instead","charging","uses","buying"
"297","address","sites","coming","wants","comes"
"298","soon","rooted","cover","however","future"
"299","believe","stars","glass","job","takes"
"300","morning","pay","next","started","card"
"301","best","faster","play","cover","start"
"302","daughter","old","itunes","negative","eyes"
"303","thanks","basic","said","alot","market"
"304","stay","gmail","internet","hard","facebook"
"305","page","makes","short","cloud","magazine"
"306","place","compatible","cool","satisfied","hours"
"307","cable","rooting","core","complaints","stream"
"308","customers","space","course","learn","end"
"309","lost","check","large","pictures","others"
"310","properly","quick","wireless","done","list"
"311","seemed","must","owned","expectations","frustrating"
"312","message","stuff","left","let","bought"
"313","terrible","trying","set","someone","prefer"
"314","figure","start","stars","value","quick"
"315","instead","game","based","cant","means"
"316","quality","quickly","files","hands","intuitive"
"317","half","said","micro","beat","ebook"
"318","register","downloading","gets","months","pay"
"319","replace","light","needed","arrived","laptop"
"320","others","end","writing","instead","mobile"
"321","sorry","user","functionality","box","purchases"
"322","shut","means","programs","beautiful","unless"
"323","package","connected","plastic","review","cost"
"324","upgrade","turn","factor","figure","smaller"
"325","around","phones","lenovo","wrong","designed"
"326","broken","programs","beautiful","stars","options"
"327","must","updates","add","perfectly","function"
"328","stuck","already","multitasking","waiting","switch"
"329","unless","dont","done","entertainment","basic"
"330","reboot","latest","dell","order","done"
"331","thinking","place","part","smaller","ebooks"
"332","delivery","installing","true","membership","pdf"
"333","done","model","updates","navigate","accidentally"
"334","kindle","range","button","ebooks","allows"
"335","part","network","nothing","streaming","major"
"336","devices","volume","store","net","case"
"337","years","playback","videos","yes","finger"
"338","error","nook","wish","friend","line"
"339","noticed","maybe","adapter","iphone","memory"
"340","spend","reading","expensive","played","responsive"
"341","broke","mode","week","extremely","useful"
"342","horrible","allow","close","enjoyed","generation"
"343","business","minutes","cable","affordable","outside"
"344","date","gtablet","easier","shipping","got"
"345","pad","took","soon","technology","example"
"346","tablets","awesome","came","smart","nothing"
"347","settings","else","form","whole","applications"
"348","freezes","settings","choice","children","away"
"349","loved","uses","several","try","course"
"350","past","least","takes","course","making"
"351","given","format","brightness","dont","setting"
"352","apparently","laptop","microsoft","next","short"
"353","failed","mini","allows","complaint","larger"
"354","unable","lots","tegra","charge","typing"
"355","fact","played","pictures","totally","star"
"356","might","yes","graphics","account","system"
"357","night","custom","couple","owned","wireless"
"358","refurbished","let","purchased","compare","kids"
"359","freeze","display","viewing","words","speed"
"360","seconds","ones","year","browse","excellent"
"361","understand","poor","control","speed","physical"
"362","check","droid","decided","surprised","products"
"363","frustrating","day","email","service","weight"
"364","house","front","quickly","checking","bright"
"365","nice","main","replace","liked","fix"
"366","black","picture","standard","fires","hardware"
"367","rating","mid","apples","soon","viewing"
"368","things","samsung","expect","comes","headphones"
"369","happen","research","via","graphics","services"
"370","totally","cost","anyone","quite","hands"
"371","feel","pdf","weeks","weight","pros"
"372","fully","extra","fan","choice","personal"
"373","version","clear","specs","hand","large"
"374","dropped","fact","buying","longer","menu"
"375","end","chat","options","tons","websites"
"376","figured","spend","access","tell","built"
"377","helpful","finger","bottom","car","close"
"378","twice","needed","making","may","enjoy"
"379","purchasing","ebooks","smaller","spent","else"
"380","respond","expected","times","everyday","last"
"381","deal","thought","htc","convenient","looks"
"382","look","expensive","try","likes","ones"
"383","firmware","including","holding","older","original"
"384","short","days","seen","excited","background"
"385","sold","type","quick","feature","three"
"386","care","lack","rather","extra","old"
"387","extremely","feel","playing","others","player"
"388","kind","kind","thought","saw","cover"
"389","always","screens","ability","believe","turning"
"390","boot","websites","extremely","happier","updates"
"391","live","radio","else","nothing","given"
"392","stop","ebook","included","eyes","cable"
"393","yesterday","updated","means","along","complaints"
"394","answer","anyone","plan","glare","consider"
"395","sometimes","fix","future","paid","scroll"
"396","via","smooth","read","might","playing"
"397","probably","done","uses","times","due"
"398","sell","preinstalled","touchscreen","fit","news"
"399","matter","program","maybe","college","plus"
"400","password","speaker","similar","member","worth"
"401","prime","ghz","job","daily","important"
"402","solution","useful","highly","finally","left"
"403","updates","galaxy","believe","shopping","move"
"404","plug","button","opinion","ability","best"
"405","updated","perfectly","second","traveling","including"
"406","freezing","last","half","products","second"
"407","supposed","never","including","thrilled","address"
"408","except","close","write","bigger","order"
"409","items","onto","free","mother","minor"
"410","technical","help","designed","original","turned"
"411","ask","solid","plug","trouble","zoom"
"412","giving","paid","huge","looked","multiple"
"413","lenovo","headphones","world","wanting","soon"
"414","third","supported","charger","three","sync"
"415","ready","hope","compare","today","location"
"416","delivered","feature","stand","colors","gets"
"417","ups","away","word","expect","service"
"418","constantly","definitely","phones","figured","functions"
"419","hoping","fairly","win","goes","kind"
"420","love","especially","kind","add","number"
"421","son","instructions","cost","gadget","site"
"422","whole","streaming","higher","bright","brightness"
"423","idea","love","lag","multitouch","credit"
"424","saw","froyo","fantastic","probably","perhaps"
"425","extra","weeks","installed","electronic","room"
"426","acer","default","powerful","stylus","help"
"427","option","unless","fun","huge","definitely"
"428","post","gets","remote","change","extremely"
"429","cant","photos","slightly","fine","minutes"
"430","due","says","change","reason","mode"
"431","rep","called","ipod","live","ever"
"432","amazoncom","added","input","taking","remove"
"433","present","manager","lighter","toy","network"
"434","replaced","save","space","downloads","month"
"435","comes","build","thin","second","regular"
"436","policy","change","black","bad","audio"
"437","packaging","anyway","original","wireless","opinion"
"438","big","angle","month","room","photos"
"439","machine","apk","eee","cell","fingers"
"440","enough","formats","heavier","world","form"
"441","info","vizio","seem","real","onto"
"442","knew","data","accessories","place","purchasing"
"443","quickly","nothing","bigger","ready","based"
"444","checked","based","fit","afford","certain"
"445","difficult","signal","important","except","listen"
"446","ended","rather","laptops","considering","application"
"447","press","standard","larger","high","decent"
"448","gone","sync","start","loving","design"
"449","looks","kids","impressed","choose","surfing"
"450","died","net","let","gotten","low"
"451","units","surf","option","half","mind"
"452","looking","appslib","released","mostly","check"
"453","happens","interface","sometimes","news","words"
"454","outside","basically","pro","forward","sort"
"455","receiving","sensitive","clear","handy","smooth"
"456","restart","launcher","view","large","scrolling"
"457","chance","week","watching","added","box"
"458","adapter","chinese","connection","functions","happy"
"459","impossible","plenty","decent","plan","someone"
"460","ordering","amazing","mini","early","wait"
"461","waited","always","mind","plenty","biggest"
"462","mail","move","reading","ones","black"
"463","yes","mind","screens","plays","high"
"464","known","soon","working","compared","sensitive"
"465","liked","except","notice","faster","touchscreen"
"466","crap","half","along","generation","choose"
"467","local","large","computers","says","format"
"468","connecting","figure","landscape","xmas","pictures"
"469","none","due","release","connection","faster"
"470","research","charger","dual","maybe","link"
"471","beware","honeycomb","simple","sometimes","factor"
"472","didnt","option","technology","recently","compare"
"473","mistake","show","users","tech","downloading"
"474","wish","manual","finger","compact","mostly"
"475","dollars","compared","docking","recommended","guess"
"476","emails","response","media","type","press"
"477","inside","cell","slow","worked","font"
"478","advertised","annoying","mine","help","seconds"
"479","advice","decided","program","lol","support"
"480","rma","supports","tried","capabilities","calendar"
"481","simply","super","ice","takes","days"
"482","electronics","year","absolutely","dollars","true"
"483","stated","getjar","comfortable","expecting","online"
"484","began","fully","longer","cheap","wrong"
"485","december","shows","tell","gets","glare"
"486","expected","wish","cream","mainly","instant"
"487","guy","cant","speaker","wow","bar"
"488","locked","calendar","microsd","opened","loaded"
"489","questions","preloaded","main","yesterday","completely"
"490","upon","remote","prefer","load","expectations"
"491","birthday","biggest","super","listening","hoping"
"492","calls","difficult","problems","seen","offer"
"493","learned","functionality","documents","pocket","value"
"494","sitting","value","old","larger","backlit"
"495","sucks","maps","replacement","waited","goes"
"496","registered","functions","skype","working","select"
"497","frustrated","note","money","heard","security"
"498","running","heavy","whole","line","accounts"
"499","resolved","smoothly","ago","refurbished","file"
"500","showed","cool","gaming","making","bigger"
