"","t2v.t1","sLDA.t1.ranking","nLDA.t1.ranking"
"1","screen","1","22"
"2","display","45","NA"
"3","resolution","NA","NA"
"4","touch","6","111"
"5","bright","131","NA"
"6","color","NA","NA"
"7","clear","159","NA"
"8","screens","330","NA"
"9","beautiful","321","NA"
"10","responsive","195","NA"
"11","colors","303","NA"
"12","touchscreen","200","NA"
"13","nice","19","365"
"14","makes","135","NA"
"15","also","93","126"
"16","looks","122","449"
"17","lcd","NA","NA"
"18","sharp","400","NA"
"19","crisp","306","NA"
"20","however","NA","154"
"21","although","NA","NA"
"22","even","30","13"
"23","viewing","NA","NA"
"24","seems","76","237"
"25","size","54","NA"
"26","vibrant","NA","NA"
"27","though","53","183"
"28","see","31","93"
"29","good","10","44"
"30","simply","NA","481"
"31","look","65","382"
"32","picture","188","NA"
"33","great","NA","108"
"34","like","2","40"
"35","better","34","259"
"36","actually","75","200"
"37","really","4","68"
"38","just","3","8"
"39","multitouch","NA","NA"
"40","full","NA","288"
"41","much","14","265"
"42","angles","NA","NA"
"43","well","24","72"
"44","ips","NA","NA"
"45","way","20","84"
"46","excellent","NA","NA"
"47","especially","206","NA"
"48","quality","281","316"
"49","amazing","NA","NA"
"50","fine","85","152"
"51","fact","212","355"
"52","yes","117","463"
"53","still","71","29"
"54","except","420","408"
"55","quite","172","NA"
"56","image","NA","NA"
"57","pretty","40","NA"
"58","light","70","NA"
"59","used","26","127"
"60","easy","125","NA"
"61","fantastic","NA","NA"
"62","vivid","NA","NA"
"63","can","12","74"
"64","smooth","NA","NA"
"65","gorgeous","NA","NA"
"66","either","153","225"
"67","brightness","184","NA"
"68","x","NA","NA"
"69","capacitive","NA","NA"
"70","displays","NA","NA"
"71","sensitive","171","NA"
"72","works","80","168"
"73","true","NA","NA"
"74","far","57","267"
"75","awesome","NA","NA"
"76","small","32","NA"
"77","made","283","155"
"78","inch","NA","NA"
"79","perfect","338","NA"
"80","bad","83","67"
"81","side","100","NA"
"82","always","87","389"
"83","text","NA","NA"
"84","almost","106","216"
"85","larger","342","NA"
"86","seem","170","NA"
"87","glass","NA","NA"
"88","resistive","NA","NA"
"89","little","8","249"
"90","images","NA","NA"
"91","device","NA","33"
"92","change","118","NA"
"93","think","15","151"
"94","type","95","NA"
"95","less","NA","230"
"96","black","137","366"
"97","ok","NA","NA"
"98","tablet","NA","2"
"99","ipad","NA","283"
"100","easily","156","NA"
"101","one","7","1"
"102","right","17","81"
"103","graphics","NA","NA"
"104","everything","77","195"
"105","angle","NA","NA"
"106","contrast","NA","NA"
"107","make","63","134"
"108","found","121","125"
"109","pages","142","NA"
"110","use","11","50"
"111","overall","103","NA"
"112","brilliant","NA","NA"
"113","responsiveness","NA","NA"
"114","fast","164","NA"
"115","page","78","305"
"116","noticed","269","339"
"117","sometimes","56","395"
"118","mode","296","NA"
"119","cons","NA","NA"
"120","high","NA","NA"
"121","hard","66","141"
"122","backlit","NA","NA"
"123","interface","NA","NA"
"124","large","327","NA"
"125","keyboard","74","NA"
"126","course","242","NA"
"127","using","52","261"
"128","big","39","438"
"129","feature","NA","NA"
"130","fire","NA","NA"
"131","battery","130","96"
"132","means","NA","NA"
"133","view","NA","NA"
"134","problem","178","10"
"135","sure","37","129"
"136","super","413","NA"
"137","smaller","249","NA"
"138","point","442","255"
"139","difference","NA","NA"
"140","thing","9","36"
"141","find","36","124"
"142","glossy","NA","NA"
"143","annoying","111","NA"
"144","clarity","NA","NA"
"145","turns","370","NA"
"146","get","5","3"
"147","easier","160","NA"
"148","reading","NA","NA"
"149","turn","79","51"
"150","life","90","NA"
"151","speed","NA","NA"
"152","extremely","288","387"
"153","tab","NA","NA"
"154","bit","46","NA"
"155","seen","226","NA"
"156","back","72","6"
"157","unit","NA","26"
"158","feel","60","371"
"159","anything","62","97"
"160","love","NA","420"
"161","crystal","NA","NA"
"162","horrible","500","342"
"163","enough","33","440"
"164","expected","174","486"
"165","experience","NA","229"
"166","often","191","NA"
"167","compared","NA","NA"
"168","performance","NA","NA"
"169","rather","262","NA"
"170","difficult","132","445"
"171","prefer","NA","NA"
"172","slightly","459","NA"
"173","white","209","NA"
"174","sound","92","NA"
"175","issue","265","43"
"176","response","NA","243"
"177","hold","49","279"
"178","turned","207","142"
"179","notice","328","NA"
"180","top","86","NA"
"181","thought","149","109"
"182","now","61","17"
"183","time","18","9"
"184","video","NA","NA"
"185","sensitivity","427","NA"
"186","looking","113","452"
"187","two","355","39"
"188","kindle","NA","334"
"189","times","67","62"
"190","addition","NA","NA"
"191","finger","110","NA"
"192","option","358","427"
"193","ipads","NA","NA"
"194","things","22","368"
"195","appear","NA","NA"
"196","read","NA","215"
"197","bigger","141","NA"
"198","impressed","NA","NA"
"199","absolutely","NA","NA"
"200","part","187","335"
"201","issues","NA","82"
"202","obviously","NA","NA"
"203","first","47","15"
"204","least","202","220"
"205","bottom","82","NA"
"206","pros","NA","NA"
"207","second","NA","128"
"208","buttons","112","NA"
"209","glare","NA","NA"
"210","adjust","293","NA"
"211","eink","NA","NA"
"212","may","405","211"
"213","similar","NA","NA"
"214","quickly","190","443"
"215","pictures","259","NA"
"216","dark","291","NA"
"217","feels","145","NA"
"218","hd","NA","NA"
"219","nothing","277","54"
"220","web","NA","NA"
"221","wish","237","474"
"222","zoom","447","NA"
"223","different","258","202"
"224","best","NA","301"
"225","yet","155","258"
"226","wonderful","NA","NA"
"227","tablets","NA","346"
"228","colorful","NA","NA"
"229","definitely","138","NA"
"230","normal","284","NA"
"231","readable","NA","NA"
"232","shows","NA","NA"
"233","lot","27","NA"
"234","ease","NA","NA"
"235","will","23","4"
"236","instead","134","315"
"237","show","175","NA"
"238","completely","388","223"
"239","takes","91","NA"
"240","huge","267","NA"
"241","goes","179","296"
"242","need","41","210"
"243","decent","484","NA"
"244","looked","329","293"
"245","videos","NA","NA"
"246","quick","116","NA"
"247","xoom","NA","NA"
"248","browser","NA","NA"
"249","half","147","317"
"250","nearly","NA","NA"
"251","since","194","60"
"252","clean","416","NA"
"253","devices","NA","336"
"254","plus","NA","NA"
"255","believe","NA","299"
"256","appears","NA","NA"
"257","problems","292","35"
"258","eyes","NA","NA"
"259","work","NA","14"
"260","watching","176","NA"
"261","seemed","422","311"
"262","hand","73","NA"
"263","line","NA","263"
"264","say","38","98"
"265","form","NA","NA"
"266","something","16","91"
"267","etc","NA","NA"
"268","lag","NA","NA"
"269","browsing","NA","NA"
"270","able","NA","104"
"271","pixels","NA","NA"
"272","put","50","158"
"273","real","157","NA"
"274","higher","NA","NA"
"275","rotation","NA","NA"
"276","deal","88","381"
"277","10.9051580429077,","NA","NA"
"278","might","97","356"
"279","opinion","NA","NA"
"280","features","NA","NA"
"281","liked","301","465"
"282","expect","161","NA"
"283","faster","NA","NA"
"284","home","51","144"
"285","probably","89","397"
"286","terrible","437","313"
"287","price","NA","179"
"288","weight","139","NA"
"289","end","224","375"
"290","unlike","NA","NA"
"291","must","NA","327"
"292","want","13","130"
"293","going","28","53"
"294","worse","NA","NA"
"295","maybe","81","169"
"296","hands","108","NA"
"297","control","204","NA"
"298","wide","NA","NA"
"299","set","140","181"
"300","every","152","139"
"301","background","255","NA"
"302","design","NA","NA"
"303","galaxy","NA","NA"
"304","come","107","132"
"305","go","NA","NA"
"306","wifi","NA","12"
"307","know","29","38"
"308","many","NA","191"
"309","ability","NA","NA"
"310","panel","NA","NA"
"311","poor","NA","231"
"312","tried","NA","31"
"313","dim","NA","NA"
"314","cracked","NA","NA"
"315","hardware","NA","NA"
"316","unfortunately","NA","280"
"317","low","NA","NA"
"318","scrolling","251","NA"
"319","fires","NA","NA"
"320","due","NA","430"
"321","comes","368","435"
"322","switch","216","NA"
"323","gives","NA","NA"
"324","case","84","205"
"325","gorilla","NA","NA"
"326","options","NA","NA"
"327","cover","96","NA"
"328","impressive","NA","NA"
"329","built","NA","NA"
"330","never","105","30"
"331","stunning","NA","NA"
"332","pad","332","345"
"333","said","183","47"
"334","thin","NA","NA"
"335","lower","NA","NA"
"336","10.8565640449524,","NA","NA"
"337","slow","69","157"
"338","orientation","396","NA"
"339","area","NA","NA"
"340","responds","NA","NA"
"341","magazines","NA","NA"
"342","solid","NA","NA"
"343","movies","NA","NA"
"344","protector","408","NA"
"345","front","NA","NA"
"346","terrific","NA","NA"
"347","new","NA","21"
"348","personally","NA","NA"
"349","landscape","260","NA"
"350","retina","NA","NA"
"351","edge","450","NA"
"352","got","205","11"
"353","iphone","NA","NA"
"354","tft","NA","NA"
"355","button","21","116"
"356","camera","NA","NA"
"357","others","215","320"
"358","long","48","176"
"359","samsung","NA","292"
"360","typing","126","NA"
"361","possible","NA","NA"
"362","factor","NA","NA"
"363","around","25","325"
"364","making","366","NA"
"365","nook","NA","NA"
"366","simple","253","NA"
"367","needed","NA","236"
"368","otherwise","339","NA"
"369","reflective","NA","NA"
"370","technology","NA","NA"
"371","navigate","468","NA"
"372","comfortable","231","NA"
"373","function","NA","NA"
"374","choice","NA","NA"
"375","functionality","NA","NA"
"376","archos","NA","264"
"377","try","119","64"
"378","build","NA","NA"
"379","close","227","NA"
"380","scroll","246","NA"
"381","led","NA","NA"
"382","crack","NA","NA"
"383","gets","128","NA"
"384","getting","55","101"
"385","stylus","219","NA"
"386","brighter","NA","NA"
"387","wrong","248","186"
"388","setting","221","NA"
"389","lock","247","NA"
"390","sunlight","NA","NA"
"391","surface","NA","NA"
"392","example","NA","NA"
"393","take","58","138"
"394","selection","NA","NA"
"395","start","124","167"
"396","settings","193","347"
"397","another","334","37"
"398","tv","NA","NA"
"399","portrait","354","NA"
"400","heavy","59","NA"
"401","terms","NA","NA"
"402","perfectly","NA","NA"
"403","tap","154","NA"
"404","volume","64","NA"
"405","worked","NA","45"
"406","kindles","NA","NA"
"407","books","NA","NA"
"408","main","236","NA"
"409","android","NA","NA"
"410","swipe","382","NA"
"411","matter","474","399"
"412","apps","NA","NA"
"413","thrive","NA","NA"
"414","ereader","NA","NA"
"415","fairly","NA","NA"
"416","tell","270","194"
"417","acceptable","NA","NA"
"418","visible","NA","NA"
"419","turning","185","NA"
"420","product","NA","5"
"421","happy","NA","221"
"422","rotate","465","NA"
"423","power","44","78"
"424","move","173","NA"
"425","reason","198","245"
"426","without","136","148"
"427","away","109","174"
"428","ipod","201","NA"
"429","functions","NA","NA"
"430","icons","467","NA"
"431","disappointed","NA","114"
"432","carousel","438","NA"
"433","last","101","106"
"434","print","NA","NA"
"435","netflix","NA","NA"
"436","went","NA","52"
"437","widescreen","NA","NA"
"438","sharpness","NA","NA"
"439","displayed","NA","NA"
"440","p","NA","NA"
"441","kind","102","388"
"442","guess","225","188"
"443","dead","NA","268"
"444","user","NA","NA"
"445","snappy","NA","NA"
"446","internet","NA","113"
"447","book","NA","NA"
"448","fingers","165","NA"
"449","working","NA","46"
"450","accurate","NA","NA"
"451","couple","104","206"
"452","cool","94","NA"
"453","asus","NA","140"
"454","longer","252","295"
"455","box","NA","48"
"456","hdmi","NA","NA"
"457","holding","114","NA"
"458","speakers","177","NA"
"459","range","NA","NA"
"460","font","NA","NA"
"461","adequate","NA","NA"
"462","playback","NA","NA"
"463","reader","NA","NA"
"464","flash","NA","NA"
"465","touching","403","NA"
"466","11.0513339042664,","NA","NA"
"467","trying","163","80"
"468","navigation","NA","NA"
"469","compare","286","NA"
"470","bezel","NA","NA"
"471","allows","NA","NA"
"472","mine","158","177"
"473","outstanding","NA","NA"
"474","unless","250","329"
"475","several","NA","163"
"476","pop","407","NA"
"477","run","NA","NA"
"478","load","151","NA"
"479","running","NA","498"
"480","processor","NA","NA"
"481","ever","186","143"
"482","changes","NA","NA"
"483","offers","NA","NA"
"484","available","NA","NA"
"485","wanted","144","122"
"486","standard","NA","NA"
"487","transformer","NA","NA"
"488","complaints","197","NA"
"489","content","NA","NA"
"490","incredible","NA","NA"
"491","app","NA","NA"
"492","respond","NA","380"
"493","next","349","94"
"494","tiny","257","NA"
"495","controls","NA","NA"
"496","complaint","272","NA"
"497","computer","43","172"
"498","rotating","NA","NA"
"499","netbook","NA","NA"
"500","phenomenal","NA","NA"
